Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
90,99.131516,4.56E-05,0.0150839,9,806,12,0.005150137,0.5804745,0.8535183,0.92626417,73040,44
89,98.14815,3.49E-05,0.0080398,7,702,13,0.00549851,0.5153433,0.85439837,0.90249974,85561,35
86,96.58793,4.93E-05,0.0104608,7,762,17,0.0049096146,0.5764415,0.8416679,0.9971224,1517,45
87,97.15585,4.15E-05,0.0138478,9,879,16,0.006461211,0.36682227,0.87744236,0.86661404,73757,49
87,94.02391,4.01E-05,0.0071752,10,502,28,0.0042753494,0.5434678,0.85645837,0.9492011,26344,48
85,92.61637,6.46E-05,0.0082594,7,623,21,0.003487195,0.33551103,0.8888764,0.9447414,82907,38
87,95.59524,6.3E-05,0.0095983,6,840,28,0.0031350355,0.5397331,0.849361,0.9313892,78191,38
87,96.00799,8.86E-05,0.0072568,7,501,26,0.00469025,0.51863426,0.8508576,0.85870576,61248,47
89,93.92324,8.72E-05,0.0128586,8,938,23,0.0040430487,0.49350598,0.82301754,0.9677217,91732,37
87,92.78996,5.49E-05,0.0097566,7,638,18,0.0031081089,0.45139885,0.8353306,0.9267696,74645,31
91,97.35683,8.37E-05,0.0156271,10,908,22,0.0043140003,0.47391012,0.8658546,0.87747234,58277,40
89,97.747185,4.18E-05,0.0121515,10,799,19,0.0043720603,0.47059932,0.8373265,0.9036601,31104,32
88,97.61904,6.16E-05,0.0216639,8,882,11,0.0069812033,0.31817564,0.85627526,0.97127074,7053,44
88,96.979164,8.91E-05,0.0218057,8,960,14,0.006633041,0.39750868,0.8089278,0.9150512,96293,44
87,96.67812,6.84E-05,0.0193319,9,873,17,0.0048902775,0.36240056,0.8765309,0.9636214,56386,31
91,96.04938,0.0001267,0.0141639,10,810,28,0.006054484,0.5659931,0.83379894,0.9509002,96020,37
86,95.1417,6.74E-05,0.0196663,10,741,15,0.003028278,0.35681584,0.8825147,0.9439586,7558,50
86,97.477066,7.79E-05,0.0154636,10,872,24,0.0057789274,0.4496143,0.80875564,0.9084881,44174,49
83,93.55401,4.59E-05,0.0056933,6,574,19,0.0030215636,0.49753174,0.8812898,0.90313107,18437,30
87,94.13549,4.51E-05,0.011606,9,989,25,0.0036263065,0.3630588,0.81033,0.82079893,22380,38
91,97.55319,5.29E-05,0.0097678,8,940,26,0.006276342,0.40409574,0.8535729,0.85368043,18637,41
